modele;annee;prix;km
Citroën C3;2022;45997;108000
Citroën C3;2020;27000;160000
Citroën C3;2007;14500;267000
Citroën C3;2017;33000;155000
Citroën C3;2009;24000;180000
Citroën C3;2006;16000;181000
Citroën C3;2009;23700;20000
Citroën C3;2021;42000;152000
Citroën C3;2016;24000;120000
Citroën C3;2026;48000;
Citroën C3;2020;29000;166000
Citroën C3;2022;42000;150000
Citroën C3;2018;28000;270000
Citroën C3;2019;23000;198000
Citroën C3;2020;34500;79000
Citroën C3;2018;32000;159000
Citroën C3;2020;34000;100000
Citroën C3;2024;43000;27000
Citroën C3;2008;23000;200000
Citroën C3;2005;22500;253000
Citroën C3;2019;49500;46891
Citroën C3;2006;21000;205000
Citroën C3;2017;30000;147000
Citroën C3;2012;27500;280000
Citroën C3;2020;32800;160000
Citroën C3;2017;35000;132000
Citroën C3;2009;22500;168800
Citroën C3;2020;32000;76000
Hyundai i20;2025;58000;23400
Hyundai i20;2021;41000;150000
Hyundai i20;2022;47000;103000
Hyundai i20;2021;42500;149000
Hyundai i20;2018;36000;156000
Hyundai i20;2018;41000;82000
Hyundai i20;2021;55000;248000
Hyundai i20;2022;58200;98000
Hyundai i20;2025;63500;15000
Hyundai i20;2018;37500;169000
Hyundai i20;2024;63500;16000
Hyundai i20;2022;38000;200000
Hyundai i20;2021;47000;130000
Hyundai i20;2021;65000;11000
Hyundai i20;2022;55000;130000
Hyundai i20;2013;29000;146000
Hyundai i20;2022;61000;16000
Hyundai i20;2021;48000;79000
Hyundai i20;2012;29000;92000
Hyundai i20;2021;47000;110000
Hyundai i20;2022;55000;13000
Hyundai i20;2020;50000;95000
Hyundai i20;2023;68000;61000
Hyundai i20;2023;57000;79000
Hyundai i20;2025;68000;15000
Hyundai i20;2016;39000;50600
Hyundai i20;2023;54000;120000
Hyundai i20;2016;37000;150000
Hyundai i20;2012;26000;185000
Hyundai i20;2019;49000;77000
Hyundai i20;2020;39500;
Hyundai i20;2021;63000;76000
Hyundai i20;2020;34000;191000
Hyundai Tucson;2023;89990;104000
Hyundai Tucson;2022;115000;38000
Hyundai Tucson;2019;73000;192000
Hyundai Tucson;2020;75000;155000
Hyundai Tucson;2007;46000;180000
Hyundai Tucson;2022;118000;99000
Hyundai Tucson;2025;125000;
Hyundai Tucson;2019;103000;90000
Nissan Qashqai;2021;64000;140000
Nissan Qashqai;2021;70000;71000
Nissan Qashqai;2016;48500;
Nissan Qashqai;2018;57500;44000
Nissan Qashqai;2021;65999;147000
Nissan Qashqai;2011;36000;235000
Nissan Qashqai;2017;52000;158000
Nissan Qashqai;2008;44500;177000
Nissan Qashqai;2009;33500;320000
Nissan Qashqai;2010;44000;340000
Nissan Qashqai;2016;55000;138000
Nissan Qashqai;2020;60000;94000
Nissan Qashqai;2018;72000;199000
Nissan Qashqai;2018;72000;105000
Nissan Qashqai;2015;45000;156000
Nissan Qashqai;2017;58000;138000
Nissan Qashqai;2019;52000;126000
Nissan Qashqai;2012;46000;156800
Nissan Qashqai;2018;65000;193000
Nissan Qashqai;2017;67000;120000
Nissan Qashqai;2010;37000;360000
Nissan Qashqai;2015;38000;140000
Nissan Qashqai;2011;40000;283000
Nissan Qashqai;2017;68000;98300
Nissan Qashqai;2017;65000;148000
Nissan Qashqai;2017;57000;115000
Nissan Qashqai;2017;46500;175000
Nissan Qashqai;2021;58500;227000
Nissan Qashqai;2009;33000;270200
Nissan Qashqai;2015;43000;240000
Nissan Qashqai;2015;41500;140000
Nissan Qashqai;2017;52000;
Nissan Qashqai;2013;42000;265000
Nissan Qashqai;2019;51000;123000
Nissan Qashqai;2013;43000;208000
Peugeot 301;2013;21000;240000
Peugeot 301;2019;29000;120000
Peugeot 301;2023;34700;90000
Peugeot 301;2016;19000;240000
Peugeot 301;2023;34500;115000
Peugeot 301;2018;25000;185000
Peugeot 301;2014;16500;240000
Peugeot 301;2018;26500;230000
Peugeot 301;2014;18500;301000
Peugeot 301;2022;34500;90000
Peugeot 301;2015;27000;194000
Peugeot 301;2018;14000;400000
Peugeot 301;2018;22000;76000
Peugeot 301;2014;24000;117000
Peugeot 301;2014;22500;165000
Peugeot 301;2024;40500;200000
Peugeot 301;2015;21500;117000
Peugeot 301;2013;26000;137000
Peugeot 301;2022;33800;90000
Peugeot 301;2013;19500;200000
Peugeot 301;2022;34500;80000
Peugeot 301;2016;22000;156000
Peugeot 301;2017;23500;220000
Peugeot 301;2018;26500;24000
Peugeot 301;2019;28700;130000
Peugeot 301;2017;21000;250000
Peugeot 301;2018;27000;143000
Peugeot 301;2023;34500;87000
Peugeot 301;2024;46000;220000
Renault Symbol;2016;26500;205000
Renault Symbol;2009;26000;245000
Renault Symbol;2013;27000;195000
Renault Symbol;2011;26000;325000
Renault Symbol;2016;33000;235000
Renault Symbol;2010;27500;180000
Renault Symbol;2015;29500;179250
Renault Symbol;2016;34800;60000
Renault Symbol;2011;26000;190000
Renault Symbol;2017;32500;190000
Renault Symbol;2016;29500;261000
Renault Symbol;2011;26500;300000
Renault Symbol;2016;33500;140000
Renault Symbol;2016;33800;59930
Renault Symbol;2010;20000;370000
Renault Symbol;2016;32000;290000
Renault Symbol;2009;22000;390000
Renault Symbol;2010;25000;280000
Renault Symbol;2016;31000;156000
Renault Symbol;2022;40000;71000
Renault Symbol;2013;23800;325000
Renault Symbol;2016;26000;305000
Renault Symbol;2012;27500;193000
Renault Symbol;2011;34999;320000
Renault Symbol;2017;36000;158000
Renault Symbol;2010;27500;220000
Volkswagen Tiguan;2018;119000;103000
Volkswagen Tiguan;2023;110000;140000
Volkswagen Tiguan;2018;76500;107000
Volkswagen Tiguan;2010;49000;200000
Volkswagen Tiguan;2014;75000;200000
Volkswagen Tiguan;2026;195000;9000
Volkswagen Tiguan;2022;149000;51471
Volkswagen Tiguan;2023;117000;65000
Volkswagen Tiguan;2015;69999;50000
Volkswagen Tiguan;2018;95000;176000
Volkswagen Tiguan;2011;41500;240000
Volkswagen Tiguan;2018;85000;170000
Volkswagen Tiguan;2022;98500;68000
Volkswagen Tiguan;2022;120000;53000
Volkswagen Tiguan;2023;118000;80000
Volkswagen Tiguan;2017;90000;63000
Volkswagen Tiguan;2009;43000;270000
Volkswagen Tiguan;2022;107000;60000
Volkswagen Tiguan;2021;120000;83000
Volkswagen Tiguan;2010;39000;192000
Volkswagen Tiguan;2024;174900;50000
Volkswagen Tiguan;2021;99900;81000
Volkswagen Tiguan;2012;50000;233000
